,Total edges,Average degree weight=count,Average degree weight=duration(seconds),Average clustering coefficient unweighted,Average clustering coefficient weight=count,Average clustering coefficient weight=duration(seconds),Average betweenness centrality unweighted,Average betweenness centrality weight=count,Average betweenness centrality weight=duration(seconds),Average closseness centrality unweighted,Average closseness centrality weight=count,Average closseness centrality weight=duration(seconds),Newman modularity unweighted,Newman_modularity weight=count,Newman_modularity weight=dration(seconds)
CsCh-2024-07-09--18-10-51,66.0,912.0,17767.166666666668,1.0,0.41424679680049303,0.38474149334618496,0.0,0.031060606060606063,0.05909090909090909,1.0,0.013997688979963513,0.0007696833901027418,0.0,0.0,0.0
CsCh-2024-07-09--18-10-58,66.0,838.3333333333334,16829.833333333332,1.0,0.4123886422508862,0.4289911459236275,0.0,0.05075757575757576,0.06515151515151515,1.0,0.017154478929526196,0.0008886208226692131,0.0,0.0,0.0
CsCh-2024-07-09--18-11-04,66.0,792.0,15931.833333333334,1.0,0.37081960617049914,0.410655767458967,0.0,0.06363636363636363,0.06818181818181818,1.0,0.01877482850495742,0.0010568036552862272,0.0,0.0,0.0
CsCh-2024-07-09--18-11-11,66.0,886.3333333333334,17405.166666666668,1.0,0.45351711979375775,0.4129205842730075,0.0,0.05000000000000001,0.051515151515151514,1.0,0.015029663105775236,0.0008100163613489034,0.0,0.0,0.0
CsCh-2024-07-09--18-11-17,66.0,778.3333333333334,15451.0,1.0,0.35267633867462883,0.3700471197515334,0.0,0.07954545454545454,0.06666666666666667,1.0,0.02125939485453721,0.0010722001397884325,0.0,0.0,0.0
CsCh-2024-07-09--18-11-24,66.0,767.8333333333334,15980.5,1.0,0.4360630536500143,0.3024197909570246,0.0,0.062121212121212126,0.06818181818181819,1.0,0.018709784135367162,0.00101933922351359,0.0,0.0,0.0
CsCh-2024-07-09--18-11-30,66.0,792.0,15728.333333333334,1.0,0.4922320390760065,0.43830614898903714,0.0,0.06363636363636364,0.05757575757575758,1.0,0.018566860164316284,0.0009189903920072193,0.0,0.0,0.0
CsCh-2024-07-09--18-11-37,66.0,745.5,13542.333333333334,1.0,0.40205335352199767,0.35871255463819357,0.0,0.05454545454545454,0.07424242424242423,1.0,0.02028294512495665,0.001353496670256424,0.0,0.0,0.0
CsCh-2024-07-09--18-11-43,66.0,781.0,15936.0,1.0,0.3678239698093098,0.35336362730874554,0.0,0.049999999999999996,0.06212121212121211,1.0,0.01933391958122868,0.0010277673443916465,0.0,0.0,0.0
CsCh-2024-07-09--18-11-50,66.0,845.1666666666666,17282.5,1.0,0.450778359436426,0.41977462650885156,0.0,0.038636363636363635,0.06060606060606061,1.0,0.01648127160675901,0.0008529504255670707,0.0,0.0,0.0
